"","participant","item","target","lex_status","response","PND","PND_CC","segment_type","segment_type_CC","contrast_type","contrast_type_CC","vocab","perception","resp.rt","frequency","neighbors","PNF"
"1","kor11","space","ei","NW",0,"sparse",-0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,11.0752,66.0588,8,4.1299
"2","kor11","tenth","t","NW",0,"sparse",-0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,24.2836,4.1569,6,31.4641
"3","kor11","fuel","f","NW",1,"sparse",-0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.154,17.1765,5,1.1647
"4","kor11","photo","ou","NW",1,"sparse",-0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,1.4882,22.8431,2,11.3628
"5","kor11","tab","t","NW",1,"dense",0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.1959,5.7647,22,7.9349
"6","kor11","fighter","f","NW",1,"dense",0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.2768,12.7843,14,34.4006
"7","kor11","scissor","s","NW",0,"dense",0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.2665,0.35294,14,16.6078
"8","kor11","teacher","t","NW",1,"sparse",-0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.42,55.7255,5,21.3608
"9","kor11","fish","f","NW",1,"dense",0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.7755,83.4902,16,25.7083
"10","kor11","swipe","s","NW",1,"sparse",-0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.5607,1.6078,7,5.4258
"11","kor11","summer","s","NW",1,"dense",0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,0.9677,78.6667,17,106.7705
"12","kor11","spell","E","NW",1,"dense",0.5,"vowel",-0.5,"critical",-0.5,32,0.487864035286764,1.4031,36.6471,16,27.1287
"13","kor11","prove","p","NW",0,"sparse",-0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.434,70.3922,7,10.2073
"14","kor11","title","t","NW",1,"dense",0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.4541,18.5686,11,11.6328
"15","kor11","final","f","NW",1,"dense",0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.1575,49.6667,10,148.6706
"16","kor11","task","t","NW",1,"sparse",-0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.3893,12.7255,8,67.3995
"17","kor11","paint","ei","NW",1,"dense",0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,1.2672,36.8039,18,21.6155
"18","kor11","racing","ei","NW",0,"dense",0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,1.1708,11.8824,17,4.1096
"19","kor11","bonus","ou","NW",0,"sparse",-0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,0.9691,9.1961,3,1.536
"20","kor11","growth","ou","NW",0,"sparse",-0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,1.0891,6.451,7,16.3781
"21","kor11","player","ei","NW",1,"dense",0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,2.0791,37.7647,14,87.2059
"22","kor11","serve","s","NW",1,"dense",0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,2.0003,37.9412,16,78.2953
"23","kor11","timer","t","NW",1,"dense",0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.9029,6.2549,11,203.5579
"24","kor11","bacon","ei","NW",1,"sparse",-0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,1.5036,11.8627,5,29.6196
"25","kor11","clothes","ou","NW",0,"sparse",-0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,1.7754,101.1373,4,0.73039
"26","kor11","sprain","ei","NW",1,"sparse",-0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,1.768,0.84314,6,5.2418
"27","kor11","throw","ou","NW",1,"dense",0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,1.3155,128.8235,19,71.1032
"28","kor11","stress","E","NW",0,"sparse",-0.5,"vowel",-0.5,"critical",-0.5,32,0.487864035286764,1.1043,15.6078,4,5.6373
"29","kor11","ghost","ou","NW",0,"dense",0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,1.3355,36.5882,14,38.7815
"30","kor11","follow","f","NW",0,"dense",0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.4803,123.1961,13,19.7722
"31","kor11","science","s","NW",1,"sparse",-0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.9043,37.2549,1,25.3725
"32","kor11","plane","p","NW",1,"dense",0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.6395,95.5294,22,65.721
"33","kor11","soap","ou","NW",0,"dense",0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,0.8678,15.1961,25,191.9373
"34","kor11","sunny","s","NW",1,"dense",0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.3368,7.6667,14,120.6036
"35","kor11","scratch","ae","NW",0,"sparse",-0.5,"vowel",-0.5,"critical",-0.5,32,0.487864035286764,1.2497,18.8431,5,3.9098
"36","kor11","pencil","p","NW",0,"sparse",-0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.2254,9.8627,4,1.1569
"37","kor11","twist","t","NW",1,"sparse",-0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.9547,12.6078,6,0.89543
"38","kor11","metal","E","NW",0,"dense",0.5,"vowel",-0.5,"critical",-0.5,32,0.487864035286764,0.934,19.451,14,21.514
"39","kor11","tiny","t","NW",1,"sparse",-0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.9007,32.2157,7,12.1289
"40","kor11","picture","p","NW",1,"sparse",-0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,2.1031,138.451,4,18.6618
"41","kor11","someday","s","NW",1,"sparse",-0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.6859,33.8431,3,15.085
"42","kor11","pepper","E","NW",0,"dense",0.5,"vowel",-0.5,"critical",-0.5,32,0.487864035286764,0.7349,8.8039,10,14.4902
"43","kor11","battle","ae","NW",0,"dense",0.5,"vowel",-0.5,"critical",-0.5,32,0.487864035286764,1.0061,42.2549,13,9.1674
"44","kor11","push","p","NW",1,"sparse",-0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.5697,70.549,8,127.1667
"45","kor11","tone","ou","NW",0,"dense",0.5,"vowel",-0.5,"control",0.5,32,0.487864035286764,1.2352,16.8627,39,48.1654
"46","kor11","feather","f","NW",1,"dense",0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.7809,6.6275,12,62.3088
"47","kor11","silly","s","NW",0,"dense",0.5,"consonant",0.5,"control",0.5,32,0.754944403126318,1.8835,57.098,25,15.3757
"48","kor11","page","p","NW",0,"dense",0.5,"consonant",0.5,"critical",-0.5,32,0.754944403126318,1.1209,37.4902,21,28.732
"49","kor11","clap","ae","NW",1,"dense",0.5,"vowel",-0.5,"critical",-0.5,32,0.487864035286764,2.3012,4.7255,18,14.0643
